Material;BUY;SELL
SANDSTONE_STAIRS;0.18;0.015$
SMOOTH_SANDSTONE;15$;0.4$
SMOOTH_SANDSTONE_SLAB;1.8$;0.14$
SMOOTH_SANDSTONE_STAIRS;3.6$;0.4$
RED_SANDSTONE;8$;0.008$
RED_SANDSTONE_SLAB;8$;0.007$
RED_SANDSTONE_STAIRS;1.2$;0.004$
SMOOTH_RED_SANDSTONE;0.6$;0.0014$
SMOOTH_RED_SANDSTONE_SLAB;1.2$;0.004$
SMOOTH_RED_SANDSTONE_STAIRS;1.2$;0.015$
STONE;0.6$;0.005$
STONE_SLAB;1.2$;0.015$
STONE_STAIRS;1.2$;0.005$
STONE_BRICK_SLAB;0.6$;0.0015$
STONE_BRICK_STAIRS;1.2$;0.005$
STONE_BRICKS;1.2$;0.019$
MOSSY_STONE_BRICK_SLAB;0.6$;0.007$
MOSSY_STONE_BRICK_STAIRS;1.2$;0.019$
mossy_stone_bricks;0.1$;0.002$
TERRACOTTA;0.05$;0.0007$
tuff;0.1$;0.002$
ACACIA_LOG;0.09$;0.005$
ACACIA_PLANKS;0.18$;0.014$
ACACIA_SLAB;0.15$;0.015$
ACACIA_STAIRS;0.09$;0.004$
ACACIA_WOOD;0.18$;0.012$
BIRCH_LOG;0.18$;0.012$
BIRCH_PLANKS;0.08$;0.005$
BIRCH_SLAB;0.15$;0.015$
BIRCH_STAIRS;0.5$;0.002$
BIRCH_WOOD;0.13$;0.00025$
CRIMSON_HYPHAE;0.7$;0.00013$
CRIMSON_PLANKS;0.13$;0.00025$
CRIMSON_SLAB;0.7$;0.001$
CRIMSON_STAIRS;0.4$;0.002$
CRIMSON_STEM;0.1$;0.00025$
DARK_OAK_LOG;0.05$;0.00013$
DARK_OAK_PLANKS;0.1$;0.00025$
DARK_OAK_SLAB;0.6$;0.001$
DARK_OAK_STAIRS;1$;0.004$
DARK_OAK_WOOD;0.2$;0.0007$
jungle_log;0.1$;0.0003$
JUNGLE_PLANKS;0.2$;0.0007$
jungle_slab;0.8$;0.003$
JUNGLE_STAIRS;0.3$;0.002$
JUNGLE_WOOD;0.075$;0.00025$
OAK_LOG;0.04$;0.00013$
OAK_PLANKS;0.075$;0.00025$
OAK_SLAB;0.5$;0.001$
OAK_STAIRS;0.5$;0.003$
OAK_WOOD;0.125$;0.0005$
SPRUCE_LOG;0.07$;0.00025
SPRUCE_PLANKS;0.125$;0.0005$
SPRUCE_SLAB;0.7$;0.002$
SPRUCE_STAIRS;0.4$;0.002$
SPRUCE_WOOD;0.1$;0.00025$
CHERRY_LOG;0.05$;0.00013$
CHERRY_PLANKS;0.1$;0.00025$
CHERRY_SLAB;0.6$;0.001$
CHERRY_STAIRS;0.3$;0.001$
CHERRY_WOOD;0.075$;0.00025$
warped_hyphae;0.04$;0.00013$
warped_planks;0.075$;0.00025$
warped_slab;0.5$;0.001$
warped_stairs;0.5$;0.002$
warped_stem;0.125$;0.00025$
